"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"C21,C20,C13";"C_0805_2012Metric";3;"100n";;;
2;"Y3,Y2";"Crystal_HC49-U_Vertical";2;"25MHz";;;
3;"Y4";"D75F0250M";1;"D75F-025.0M";;;
4;"Y1";"OSC_AST3TQ-T-25.000MHZ-28";1;"AST3TQ-T-25.000MHZ-28";;;
5;"U2";"LT6654AHS6-3-TRMPBF";1;"LT6654AHS6-3-TRMPBF";;;
6;"U1";"SOT-89-3";1;"L78L05_SOT89";;;
7;"RV1";"Potentiometer_Bourns_3269W_Vertical";1;"10k";;;
8;"R14";"R_0805_2012Metric";1;"1R";;;
9;"R13";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"47R";;;
10;"R12";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"100R";;;
11;"R11,R10";"R_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1k";;;
12;"Q1";"SOT-323_SC-70";1;"BFR92";;;
13;"L10";"L_1210_3225Metric";1;"0.33uH";;;
14;"L9,L7";"L_0805_With_Holes";2;"100n";;;
15;"L8";"L_0805_With_Holes";1;"330n";;;
16;"L6";"L_0805_With_Holes";1;"1u";;;
17;"L5";"L_0805_With_Holes";1;"10u";;;
18;"L4";"L_0805_With_Holes";1;"220n";;;
19;"L3";"L_0805_With_Holes";1;"150n";;;
20;"L2";"L_0805_With_Holes";1;"56n";;;
21;"L1";"L_0805_With_Holes";1;"82n";;;
22;"J5";"PinHeader_1x03_P2.54mm_Vertical";1;"Sel";;;
23;"D1";"D_SOD-323_HandSoldering";1;"1N4001";;;
24;"C19,C9";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"15p";;;
25;"C18,C10";"C_1206_3216Metric";2;"4.7u";;;
26;"C17,C12";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"1n";;;
27;"C16,C14";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100p";;;
28;"C15";"C_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"1u";;;
29;"C11,C6";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"100n";;;
30;"C8";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"??";;;
31;"C7,C5";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";2;"33p";;;
32;"J4";"BNC_Dual_F_Connector";1;"LNB";;;
33;"R7";"R_0805_2012Metric";1;"82";;;
34;"C1";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"39p";;;
35;"C2";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"56p";;;
36;"C3";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"24p";;;
37;"C4";"C_0805_2012Metric_Pad1.15x1.40mm_HandSolder";1;"2.2n";;;
38;"F1";"Fuse_1210_3225Metric_Pad1.42x2.65mm_HandSolder";1;"Polyfuse";;;
39;"J1";"BarrelJack_Horizontal";1;"DC Input";;;
40;"J2";"SMA_Amphenol_132134-16_Vertical";1;"IF Out";;;
41;"J3";"SMA_Amphenol_132134-16_Vertical";1;"Ref In";;;
42;"R1,R5";"R_0805_2012Metric";2;"100";;;
43;"R2,R6";"R_0805_2012Metric";2;"300";;;
44;"R3";"R_0805_2012Metric";1;"75";;;
45;"R4";"R_0805_2012Metric";1;"18";;;
46;"R8";"R_0805_2012Metric";1;"47";;;
47;"MH1,MH2,MH3,MH4";"MountingHole_3.2mm_M3_DIN965";4;"M3";;;
48;"D2";"LED_D3.0mm";1;"LED";;;
49;"R9";"R_0805_2012Metric";1;"10k";;;
